outlet,bias,headline,summary,ground_news_interest_url
BT,Right,Nigeria: Gave Trump the Green Light to Attack Islamic State,"Trump has claimed that there is a mass killing of Christians in Nigeria. The reality, however, is more complicated. ""It's not about religion,"" says Nigeria's foreign minister. 2 months ago · Denmark",https://ground.news/interest/bt
The American Spectator,Right,Protecting Nigeria’s Christians: Trump’s Strike Against ISIS – The American Spectator | USA News and Politics,"Trump’s Christmas strike and the long-overdue answer to Nigeria’s Christian slaughter. 2 months ago · Alexandria, United States",https://ground.news/interest/the-american-spectator
Zero Hedge,Right,Nigerians Applaud Trump's Military Strikes On Islamic Terrorists,"ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero 2 months ago · United States",https://ground.news/interest/zero-hedge
Owensboro Messenger-Inquirer,Right,US launches strikes against Islamic State group in Nigeria,"President Donald Trump says the U.S. launched a deadly strike against Islamic State forces in Nigeria, after spending weeks accusing the West African country's government of failing to rein in the persecution of Christians. Trump posted news of the strike… 2 months ago",https://ground.news/interest/owensboro-messenger-inquirer
Irish Independent,Right,US strikes Islamic State targets in Nigeria after Trump warnings,"US forces struck Islamic State targets in north-western Nigeria on Thursday night, the US and Nigerian governments said, acting after threats by US president Donald Trump to attack the country in an effort to stop what he has said are the killings of Christians. 2 months ago · Ireland",https://ground.news/interest/independentie
The Christian Post,Right,US conducts 'powerful and deadly strike' against ISIS in Nigeria on Christmas Day,"U.S. military forces conducted airstrikes against ISIS militants in northwest Nigeria on Christmas Day, marking a symbolically timed military action. 2 months ago",https://ground.news/interest/christianpostcom
Blavity News & Politics,Left,"Trump Launches Military Strikes In Nigeria, Says He's Targeting ISIS As Country Rejects His Christian Persecution Narrative","The Trump administration has followed up on the president’s rhetoric about Christian persecution in Nigeria by launching military strikes against Islamic militants in the country. The attacks, justified by a misleading narrative about the nature of the Nigerian conflict, illustrate the Trump administration’s increasing use of military action in aggressive ways, often based on dubious justifications. Trump launches missile strikes against Islamis… 2 months ago",https://ground.news/interest/blavity-news-and-politics
Task & Purpose,Lean Left,US targets ISIS with multiple strikes in Nigeria,The Christmas day attacks in the country’s northwestern Sokoto state are the first direct strike against militants in Nigeria by the U.S. 2 months ago,https://ground.news/interest/task-and-purpose
Washington Examiner,Right,Trump brags US gave ISIS 'very bad Christmas present' with Nigeria strikes,"President Donald Trump praised the U.S. military strikes against Islamic State terrorists in northwest Nigeria as a “very bad Christmas present,” during a surprise Friday appearance on WABC 770 AM. “I told Nigeria, and I told the people around Nigeria that if you do it, you’re going to get hit. And I said yesterday, I said, hit him on Christmas Day. It’ll be a Christmas present,” Trump told John Catsimatidis, host of WABC’s Sid & Friends in the … 2 months ago · Washington, United States",https://ground.news/interest/washington-examiner
CatholicVote org,Right,US carries out ‘deadly’ strike against Nigerian ISIS camps over Christian persecution,"The U.S. launched a strike against ISIS terrorist camps in northwest Nigeria late Christmas Day in response to ongoing Christian persecution in the country, President Donald… The post US carries out ‘deadly’ strike against Nigerian ISIS camps over Christian persecution appeared first on CatholicVote org. 2 months ago",https://ground.news/interest/catholicvote-org
TF1 INFO,Center,Today in 24h Presented by Yves Calvi: International - Trump Hits Islamic State in Nigeria,REPLAY 24H : In the summary of Friday 26 December 2025 : International - Trump strikes the Islamic State in Nigeria. Russia - Putin 的offresto the Zaporijia power station in Trump. War - NATO intercepts nuclear bombers. - Today in 24H presented by Yves Calvi : International - Trump strikes the Islamic State in Nigeria (International). 2 months ago,https://ground.news/interest/tf1-info
Liberation,Lean Left,"In Nigeria, What Was the Target of Donald Trump's Christmas Bombing?","The missiles fired on Thursday from an American warship reached the state of Sokoto, a territory marked by insecurity, but far from the fief of the jihadists of Boko Haram and where Christians do not appear to be particularly threatened. 2 months ago · Paris, France",https://ground.news/interest/liberation
Salon,Left,"Trump orders Christmas Day airstrikes against Islamic State in Nigeria with ""more to come""","The exact militant group targeted and the effectiveness of the strikes are unknown 2 months ago · San Francisco, United States",https://ground.news/interest/salon
Alternet,Center,Military expert schools Fox News reporter who cheered missiles sent into Nigeria,"President Donald Trump sent bombs into Nigeria Thursday, but one military expert was forced to school a Fox News host who cheered the expensive weaponry. Fox News correspondent Lucas Tomlinson cheered, ""U.S. Navy destroyer launching Tomahawk cruise missile into Nigeria targeting Islamic State on Christmas.""Thomas Karako, the director of the Missile Defense Project and a senior fellow with the Defense and Security Department at the Center for Str… 2 months ago · Washington, United States",https://ground.news/interest/alternet
The Globe & Mail,Center,Nigeria disputes Trump claim that U.S. missile strike aimed to protect Christians,Foreign ministry says strikes were a joint operation aimed at protecting ‘all citizens’ 2 months ago · Canada,https://ground.news/interest/the-globe-and-mail
CGTN,Lean Left,Expert: Military action alone cannot defeat terrorism in Nigeria,"A security expert has raised doubts about the effectiveness of recent joint U.S.-Nigeria strikes on militants in Sokoto state, despite officials describing the operation as a success. Dr. Oluwole Ojewale noted that although the action reflects strong bilateral security cooperation, military force alone is insufficient. 2 months ago · Beijing, China",https://ground.news/interest/cgtncom
The Morning News,Center,US Targets Islamic State With Airstrikes In Nigeria,"Just after Christmas, the skies over north-western Nigeria lit up — but not with celebration. The United States confirmed it carried out airstrikes on camps linked to the Islamic State group. This signalled a sharp escalation in a region militants are trying to turn into their next base.The targets were in Sokoto state, near Nigeria’s border with Niger. According to the US military, the strikes hit IS-linked camps and likely killed “multiple” fi… 2 months ago",https://ground.news/interest/the-morning-news
UnHerd,Center,US strikes in Nigeria will not turn tide against Isis,"The US airstrikes against Islamic State fighters in Sokoto State in north-west Nigeria last night are unlikely, on their own, to alter the trajectory of the country’s Islamist insurgency. This is true even if they did kill “multiple Isis terrorists”, as US Africa Command claims. But the strikes could still matter in another sense: if they signal a shift in US policy, they may yet improve the security outlook in West Africa. When 13 Christians we… 2 months ago",https://ground.news/interest/unherd
Protothema,Right,Trump's Strike on Isis and the Narrative of Persecuted Christians - Nigeria Says It Approved the Attack,The US strike against Islamists in Nigeria was accompanied by strong religious rhetoric from Donald Trump 2 months ago,https://ground.news/interest/protothema
The New York Sun,Right,Nigeria’s Government Trumpets Its Role in American Airstrikes on ISIS Insurgents,"A Nigerian source is quoted as saying the military had learned of a ‘massive convergence’ of armed terrorists planning coordinated attacks. 2 months ago · New York, United States",https://ground.news/interest/the-new-york-sun
The Savage Nation,Far Right,"MichaelSavage.com – Trump Launches ‘Powerful, Deadly Strike Against ISIS Terrorist Scum’ in Nigeria","The silent nights are over, according to President Donald Trump, who announced ""a powerful and deadly strike against ISIS Terrorist Scum in Northwest Nigeria"" on Christmas night. ""Tonight, at my direction as Commander in Chief, the United States launched a powerful and deadly strike against ISIS Terrorist Scum in Northwest Nigeria, who have been targeting… 2 months ago",https://ground.news/interest/the-savage-nation
Metro News,Lean Left,Why has Trump ordered ‘powerful strikes’ in Nigeria?,"Missiles are shown erupting from a US warship in a video accompanying words by Donald Trump hailing a strike on ISIS in Nigeria (Picture: US Department of War) Donald Trump has hailed ‘powerful and deadly’ US strikes carried out on Christmas Day against an Islamic State branch in Nigeria.  The US president said ‘perfect’ hits had been carried out against ‘ISIS terrorist scum’ in the operation targeting camps run by the group in the country’s nor… 2 months ago · London, United Kingdom",https://ground.news/interest/metro-news
Sapo,Right,u.s. Attacks by the Islamic State in Nigeria,Nigeria's Foreign Minister Yusuf Tuggar confirmed that it was Abuja who provided intelligence information to the United States and revealed direct contacts with Washington 2 months ago · Portugal,https://ground.news/interest/sapo
Corriere Della Sera,Center,Why Is Nigeria a Clay-Footed Giant? What Really Prompted Trump to Intervene?,Behind the US raid in defense of African Christians there would be mainly reasons for internal politics: the great evangelical component of its electorate has been pushing for a long time in this direction. Beginning with Charlie Kirk 2 months ago · Italy,https://ground.news/interest/corriere-della-sera
iNews,Center,Why Trump has launched attacks on Isis in Nigeria,"Following repeated accusations that Nigeria’s government has failed to stop violence against Christians in the country, Donald Trump announced a series of airstrikes on targets in the west African nation on Christmas Day. The strikes, which targeted Islamic State (IS) militants in Nigeria’s northwestern Sokoto state, mark one of Trump’s most recent uses of military force abroad. The move comes weeks after the US President threatened action amid … 2 months ago · London, United Kingdom",https://ground.news/interest/inews
NEWSREP,Right,"Morning Brief: US Launches Christmas-Day Strikes on Islamic State Targets in Nigeria, Yemen Separatists Accuse Saudi Arabia of Airstrikes","US hits IS in Nigeria, Yemen tensions rise, and Japan boosts defense spending. Here’s your Friday morning brief for December 26th, 2025. #MorningBrief #Nigeria #MiddleEast #UkraineRussiaWar 2 months ago",https://ground.news/interest/newsrep
NewsBusters,Right,Networks Continue To Downplay Killing Of Christians As Trump Bombs ISIS In Nigeria,"This past November President Trump instructed the Pentagon to, ""prepare for possible action in Nigeria"", saying the U.S. could go in ""guns-a-blazing"" and halt aid if the government there ""continues to allow the killing of Christians."" He also refused to rule out the possibility of U.S. troops boots on the ground, and declared Nigeria, ""a country of particular concern"" for violating religious freedoms, all of which sent the left  into a frenzy, w… 2 months ago · Washington, United States",https://ground.news/interest/newsbusters
