outlet,bias,headline,summary,ground_news_interest_url
Australian Financial Review,Lean Right,End of Trump trade sparks mass repositioning of money,"The escalating trade war has brought an abrupt end to Wall Street’s blistering bull market, as the S&P 500 erased its $5.4 trillion post-election rally and the Nasdaq entered a correction. 1 year ago · Sydney, Australia",https://ground.news/interest/australian-financial-review
Owensboro Messenger-Inquirer,Lean Right,Wall Street falls again as losses wipe out all post-election gains for the S&P 500,"Stocks racked up more losses on Wall Street Tuesday as a trade war between the U.S. and its key trading partners escalated, wiping out all the gains since Election Day for the S&P 500. The benchmark index fell 1.2% and… 1 year ago",https://ground.news/interest/owensboro-messenger-inquirer
n-tv.de,Lean Right,Nvidia shocks investors: Trump's tariff plans push Wall Street to the bottom,"Trump creates turbulence on the stock market: Armor top, oil flop, so Wall Street can be summarized on Monday. In between, the chips rank clearly in the minus and the euro quite easily in the plus. A luxury brand creates a stir. 1 year ago",https://ground.news/interest/n-tvde
The Straits Times,Lean Right,"US stocks close lower as Trump sets 25% tariffs, manufacturing data dips","The S&P 500 and the Nasdaq Composite lost 1.75% and 2.64%, respectively. Read more at straitstimes.com. 1 year ago · Singapore",https://ground.news/interest/the-straits-times_9bb9e6
Hollywood in Toto,Lean Right,7 Lessons from Sunday's Insanely Long Oscars Ceremony,The 97th Oscars ceremony told us plenty about Hollywood in 2025. Those lessons will last longer than the nearly four-hour telecast. 1 year ago,https://ground.news/interest/hollywood-in-toto
Frankfurter Allgemeine,Lean Right,"Oscar winner from ""Anora"" to ""Wicked"" in the F.A.Z. review","Multi-layered play, a film from a different era and one that gets stuck in the scenes: Film critics of the F.A.Z. judge the Oscar-winning films. 1 year ago · Frankfurt, Germany",https://ground.news/interest/frankfurter-allgemeine
Bild,Lean Right,Oscars 2025: ALL winners at a glance!,"Gold boy rain in Hollywood! But who was allowed to take one home? The cleaners of the Oscar night at a glance. 1 year ago · Berlin, Germany",https://ground.news/interest/bild
la Nacion,Lean Right,Oscar 2025 Awards: a night of surprises and disappointments in which Brazil made history and Anora was consecrated as a great winner,"The Oscar awards are synonymous with glamour, stars, cinema and prestige. Although it is fair to say that, in recent years, the awards of the Academy of Cinematographic Arts and Sciences, the highest point of Hollywood’s auto-celebration season, lost some of their lustre. That mistake with the winning envelope of the best film in 2017 and the slapped that Will Smith gave Chris Rock in 2022 changed the course of the ceremony while it was broadcas… 1 year ago · Buenos Aires, Argentina",https://ground.news/interest/la-nacion_7042bc
thairath.co.th,Lean Right,The Year of Anora wins 5 Oscars. Film-Director-Actress,"Independent Film Anora won five awards at the 97th Academy Awards in Los Angeles, including Best Film, Best Original Screenplay, Best Editing, Best Director, and Best Actress. 1 year ago",https://ground.news/interest/thairathcoth
Libertad Digital,Lean Right,Oscars Deny Trump and Follow Europe · Global Voices,Anora gives the bell and becomes the most award-winning film in a gala where Trump was not mentioned once. 1 year ago,https://ground.news/interest/libertad-digital
Dagens Nyheter.,Lean Right,"Grand slam for Sean Baker's ""Anora"" at the Oscars","Sean Baker's modern Cinderella story about an American stripper and a Russian oligarch family was the big winner at the 97th Academy Awards. ""I guess Americans are happy to finally see someone stand up to a powerful Russian,"" said host Conan O'Brien. 1 year ago · Stockholm, Sweden",https://ground.news/interest/dagens-nyheter
Svenska Dagbladet,Lean Right,Historic Big Win for 'Anora' at the Oscars,"“Anora” became the big winner of the Academy Awards with five awards. Among other things, it took home prestigious Best Picture, Best Director and Best Actress. 1 year ago · Stockholm, Sweden",https://ground.news/interest/svenska-dagbladet
Die Presse,Lean Right,"""I think America is thrilled: the best quotes from the...","A selection of the most striking sayings at the Academy Awards in Hollywood. 1 year ago · Vienna, Austria",https://ground.news/interest/die-presse
Observador,Lean Right,The biggest night of “Anora”: how Sean Baker's movie came to glory at the Oscars,"Director, screenwriter, producer and editor: the filmmaker was victorious, with four private awards - in addition to the Oscar for Mikey Madison. This was also the victory of independent cinema. 1 year ago · Portugal",https://ground.news/interest/observador
El Financiero,Lean Right,Mexico ‘wins one’ at the Oscar 2025 Awards: List of winners after ‘Emilia Pérez’ failures,The Oscar 2025 awards were held this Sunday March 2nd from the Dolby Theatre in Hollywood and 'Anora' was crowned the Best Film at the ceremony. 1 year ago · Mexico,https://ground.news/interest/el-financiero
