outlet,bias,headline,summary,ground_news_interest_url
Republic World,Lean Right,"Philadelphia Plane Crash: 7 Killed, 19 Injured After Air Ambulance Crashes on a Busy Street","Philadelphia: A person in a car was the seventh fatal victim of the fiery crash of an air ambulance onto a busy Philadelphia street, authorities said Saturday, as investigators sifted through burned cars, damaged homes and charred debris for clues to determine why the aircraft pl 1 year ago · Mumbai, India",https://ground.news/interest/republic-world
Nevada Globe,Lean Right,"Philadelphia Plane Crash Leaves Seven Dead, Multiple Injured as Authorities Investigate - Nevada Globe","A devastating plane crash in Philadelphia has claimed the lives of seven people and injured at least 19 others after a medical jet went down Friday night, according to city officials. The crash site, spanning several blocks near Roosevelt Mall, set multiple homes and vehicles ablaze, leaving a trail of destruction and uncertainty in the area. Philadelphia Mayor Cherelle Parker confirmed in a Saturday press conference that one of the victims was … 1 year ago",https://ground.news/interest/nevada-globe
Asharq AL-awsat,Lean Right,At Least Seven People Dead in Philadelphia Plane Crash,"At least seven people died when a medevac plane crashed in Philadelphia on Friday, including six Mexicans aboard the plane and one person who was on the ground, Mexico's president and Philadelphia's mayor said on Saturday. Philadelphia Mayor Cherelle Parker told a press conference that the person who died on the ground had been in a car at the site of the crash. ""Thus far, our count is that there are 19 injured victims,"" Parker said. 1 year ago · Riyadh, Saudi Arabia",https://ground.news/interest/asharq-al-awsat
wibc.com,Lean Right,Mexican Nationals Killed in Air Ambulance Crash,The Mexican government says all those onboard the air ambulance jet that crashed in Philadelphia Friday night were Mexican nationals. 1 year ago,https://ground.news/interest/wibccom
The Center Square,Lean Right,7 dead after small jet crashes near Philadelphia mall,"(The Center Square) – All six people aboard a small medical jet that crashed Friday night near a Philadelphia mall are dead, Philadelphia Mayor Cherelle Parker said Saturday. Another person 1 year ago · United States",https://ground.news/interest/the-center-square
thairath.co.th,Lean Right,Tragic: All 6 dead as small plane carrying patients crashes into Philadelphia home,"Philadelphia mayor confirms no survivors after small plane carrying medical personnel crashed into a home Friday, including a young girl who had recently recovered and was on her way home 1 year ago",https://ground.news/interest/thairathcoth
NOS,Lean Right,"All six occupants of Philadelphia crash dead, 'many injured' on ground","All six occupants of the medical plane that crashed yesterday near a shopping mall in Philadelphia have died. Mayor Parker of the American city has announced this. According to her, ""many people"" were injured on the ground. It was already expected that none of the occupants had survived the crash, but Jet Rescue Air Ambulance, the company that provided the transport, did not dare to confirm this earlier. The victims are a girl and her mother, a … 1 year ago · Netherlands (Kingdom of the)",https://ground.news/interest/nos_4ae905
LBC,Lean Right,Seven dead after medical plane carrying sick child erupts into fireball and crashes into Philadelphia neighbourhood,"Officials in Philadelphia say seven people are now known to have died after a medical plane carrying a sick child crashed on Friday night. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
Le Point.fr,Lean Right,Medical plane crash in the United States: what we know,"The medical plane, which was carrying a hospitalized child, crashed in a populated area of Philadelphia. It could have caused victims on the ground. 1 year ago · Paris, France",https://ground.news/interest/le-pointfr
Sapo,Lean Right,"Medical transport plane crashes in Philadelphia. At least six people, including one child, died","Aircraft crashed after flying for about 40 seconds. The content Medical transport plane crashes in Philadelphia. At least six people, including one child, died appears first in Journal i. 1 year ago · Portugal",https://ground.news/interest/sapo
Irish Independent,Lean Right,Medical plane carrying a child patient and five others crashes into Philadelphia neighbourhood,"A medical transport jet transporting a child who had just completed treatment for a life-threatening condition, her mother and four others crashed into a Philadelphia neighbourhood shortly after takeoff Friday evening, exploding in a fireball that engulfed several homes. 1 year ago · Ireland",https://ground.news/interest/independentie
Libertad Digital,Lean Right,Six Dead in a New Air Tragedy: A Medicated Plane Slams in a Residential Area of Philadelphia · Global Voices,One of the victims is a minor. The National Transportation Safety Board (NTSB) and FAA will investigate the causes of the accident. 1 year ago,https://ground.news/interest/libertad-digital
GB News,Lean Right,Philadelphia plane crash: Fire erupts after air ambulance 'carrying child patient' smashes into neighbourhood,"A medical transport aircraft carrying six Mexican nationals, including a young patient from Shriners Hospital, has crashed in a residential area of Philadelphia after taking off on Friday evening 1 year ago · London, United Kingdom",https://ground.news/interest/gbnewscom
teleSUR,Far Left,New air crash in the United States leaves at least six dead,"Pennsylvania state governor Josh Shapiro described the medical plane crash as ""a terrible aviation disaster."" At least six Mexican citizens died on Friday when a medical plane crashed in the city of Philadelphia in the east of the United States. READ ALSO: Military helicopter crashes into commercial aircraft in Washington, D.C., U.S. Upon learning about the death of Mexican citizens, the U.S. Ministry of Foreign Affairs reported that the personn… 1 year ago",https://ground.news/interest/telesurtvnet
7NEWS Australia,Lean Right,Devastating twist as reason why group were on crashed medical plane revealed,"The family had just been gifted a health miracle from America when the plane dropped from the sky and crashed into houses, setting the neighbourhood on fire. 1 year ago · Australia",https://ground.news/interest/7news-australia
National Post,Lean Right,"Medical transport plane with 6 aboard crashes in Philadelphia, igniting homes and unleashing fireball","PHILADELPHIA -- A medical transport jet with a child patient and five others aboard crashed into a Philadelphia neighborhood shortly after takeoff Friday evening, exploding in a fireball that engulfed several homes. 1 year ago · Canada",https://ground.news/interest/national-post
Bangkok Post,Lean Right,Six feared dead as medical jet crashes in Philadelphia,"PHILADELPHIA - A small medical plane carrying six people crashed near a shopping centre in northeast Philadelphia on Friday night, apparently leaving no survivors and sending a large fireball into the air that engulfed vehicles and homes in flames, authorities said. 1 year ago · Bangkok, Thailand",https://ground.news/interest/bangkok-post
wjr.com,Lean Right,Medevac Jet Crashes in Philadelphia Neighborhood,"January 31st, 2025 ~ The Federal Aviation Administration says a twin-engine medevac jet crashed in a neighborhood in northeast Philadelphia Friday night, causing a fiery explosion. According to the FAA a Learjet 55 crashed after departing from Northeast Philadelphia Airport. The private business jet, which had six people on board including a pediatric patient, was en route to Springfield-Branson National Airport in Missouri. Police and Fire offi… 1 year ago",https://ground.news/interest/wjrcom
News18 India,Lean Right,Dashcam Footage Captures Moment Small Plane Crashes Near Philadelphia Mall,"The footage shows the Learjet 55 falling from the sky in a streak of white before crashing into the ground, exploding into a massive fireball 1 year ago · India",https://ground.news/interest/news18-india
El Mundo,Lean Right,At least 6 dead after a plane crash in an urban area of Philadelphia,"A plane crashed this Friday afternoon in a residential area of Philadelphia, United States, causing an explosion and at least six deaths, Fox said... 1 year ago · Madrid, Spain",https://ground.news/interest/el-mundo
www.larazon.es,Lean Right,At least 6 dead after a small plane crashed into urban Philadelphia,"A small plane crashed into a residential area of Philadelphia, United States, causing an explosion and at least six dead, Fox News said.The ABC6 channel, which reports ""several dead,"" pointed out that the plane crashed near an avenue junction in the northeast of Pennsylvania's largest city and that it may have fallen into several buildings and vehicles.According to CBS News, which cites police sources, two people were on board the plane, there a… 1 year ago · Spain",https://ground.news/interest/wwwlarazones
Daily Express,Lean Right,Doomed Pennsylvania jet hit gas pipeline before crashing into three homes,"An air ambulance crashed after departing from Northeast Philadelphia Airport in Pennsylvania, according to the US FAA - with six fatalities confirmed so far 1 year ago · United Kingdom",https://ground.news/interest/daily-express
BioBioChile,Lean Right,Shocking videos record the plane crash in Philadelphia: at least 6 dead,Several videos broadcast on social networks and media captured on Friday the instant that a model private plane... 1 year ago · Chile,https://ground.news/interest/biobiochile
La Tercera,Lean Right,Another plane crash in the U.S.: Ambulance plane falls in Philadelphia urban sector and leaves six dead,"A new plane crash was recorded this Friday in the United States, after a plane fell in an urban area, northeast of the city of Philadelphia, in the state of Pennsylvania, causing a big explosion and leaving a preliminary balance of six people dead.The plane, model Learjet 55, went from Philadelphia to Springfield, Missouri, leaving the airport of northeastern Philadelphia when the tragedy occurred, at around 6.30 p.m. local.The incident occurred… 1 year ago · Chile",https://ground.news/interest/la-tercera
Daily Star,Lean Right,Philadelphia plane crash horror as at least 6 dead in second US aircraft tragedy in 2 days - Daily Star,"A plane has crashed in Philadelphia, Pennsylvania, just two days after a tragic mid-air collision in Washington DC claimed the lives of 67 people, with reports of multiple casualties 1 year ago · United Kingdom",https://ground.news/interest/daily-star
India TV News,Lean Right,"Medical plane with six on board crashes in US' Philadelphia, multiple deaths feared","Philadelphia plane crash: A small plane crashed in Northeast Philadelphia just 30 seconds after takeoff near a shopping centre, exploding in a fireball that engulfed several homes. The crash occurred less than three miles (4.8 kilometers) from Northeast Philadelphia Airport, which mainly caters to business jets and charter flights. Images from the scene suggest that residential homes have caught fire. Governor of the Commonwealth of Pennsylvania… 1 year ago · India",https://ground.news/interest/india-tv-news
Deccan Chronicle,Lean Right,"Plane Crashes in Philadelphia, Setting Homes Ablaze","Flight data showed a small jet taking off from the airport at 6:06 p.m. and disappearing from radar about 30 seconds later 1 year ago · Hyderabad, India",https://ground.news/interest/deccan-chronicle
El Financiero,Lean Right,Plane crashes in Philadelphia: At least 6 dead reported and houses burned,"The plane struck near a junction in a residential area of Philadelphia, where it crashed into buildings and vehicles. 1 year ago · Mexico",https://ground.news/interest/el-financiero
Globo,Lean Right,"Small plane crashes in Philadelphia, United States","The episode comes days after a collision between a passenger plane and a military helicopter in Washington, killing 67 people, in the deadliest plane crash in almost 25 years in the United States. A small private aircraft crashed in Philadelphia this Friday, said the governor of the state of Pennsylvania, where the city is located, in the northeastern United States. Local media outlets published images of a fireball that caused several subsequen… 1 year ago · Brazil",https://ground.news/interest/globo
आज तक,Lean Right,"Plane crash again in America, plane debris fell on homes, area started blazing",The National Transportation Safety Board (NTSB) said that information about the accident is being collected. Work is being done to find out the reason behind the accident and to ensure public safety. 1 year ago,https://ground.news/interest/_421d90
The West Australian,Lean Right,Medevac plane with six on board crashes in US,"Days after the biggest air disaster in the United States in 16 years, a medevac plane has crashed in Philadelphia, with ""multiple casualties"" reported. 1 year ago · Australia",https://ground.news/interest/the-west-australian
"La Nación, Grupo Nación",Lean Right,Six people were traveling on a private plane that crashed in Philadelphia,"An air ambulance crashed in the vicinity of the Roosevelt Mall, located north-east of the city of Philadelphia, in the state of Pennsylvania.The mishap was recorded at 6:30 p.m. (local time) this Friday, January 31 in a high-transit residential area.Six people were traveling on board, confirmed the Federal Aviation Agency (FAA). Jet Rescue Air Ambulance reported that the aircraft was an ambulance carrying a child patient, an adult escort and fou… 1 year ago",https://ground.news/interest/la-nacion-grupo-nacion
ABS-CBN,Lean Right,"Small plane crashes in Philadelphia, sparking blaze: US media","The crash came just two days after a passenger jet and military helicopter collided just off Washington's Reagan National Airport, killing 67 people in the dead 1 year ago · Quezon City, Philippines (the)",https://ground.news/interest/abs-cbn
