outlet,bias,headline,summary,ground_news_interest_url
Svenska Dagbladet,Lean Right,“Communication must be hidden”,"DEBATE. When the government wants to install backdoors in all encrypted services, they undermine Sweden's security. The Armed Forces must have access to secure communication services, writes representatives of the Center Party. 1 year ago · Stockholm, Sweden",https://ground.news/interest/svenska-dagbladet
The Citizen,Lean Right,Apple and UK government clash over 'backdoor' access to encrypted files,Apple stopped offering Advanced Data Protection (ADP) in the UK in response to the secret order over privacy. 1 year ago · South Africa,https://ground.news/interest/the-citizen_8f4e4d
Sapo,Lean Right,Apple disables iCloud functionality essential for user privacy,"Apple made the decision to turn off one of its most secure encryption features in iCloud. The company complied with an order from the British government, which required unrestricted access to data stored on... 1 year ago · Portugal",https://ground.news/interest/sapo
The Telegraph,Lean Right,Britain is waging war on Apple – it is already backfiring,"The Home Office’s demand for a backdoor into iPhones risks a showdown with the White House 1 year ago · London, United Kingdom",https://ground.news/interest/the-telegraph
Irish Independent,Lean Right,Apple removes data protection tool for UK users following government demand for access to encrypted files,Apple is to remove its highest level of data protection from customers in the UK following a government demand for access to user data. 1 year ago · Ireland,https://ground.news/interest/independentie
Globo,Lean Right,Apple withdraws cloud encryption service in the UK after government order,The request for a so-called “back door” for user data would allow law enforcement and security authorities - after obtaining a warrant approved by a judge - to access “backups” of the iPhone and other cloud data 1 year ago · Brazil,https://ground.news/interest/globo
The Epoch Times,Lean Right,Apple Halts Advanced Data Protection for UK Users After Reports of Government Demand for Backdoor Access,"Apple has stopped providing its highest-level data security protections to new users in the UK after the British government reportedly demanded backdoor access to user data. An Apple spokesperson confirmed that the iPhone maker will no longer offer the Advanced Data Protection (ADP) feature to new users and will eventually disable it for existing users as well. “We are gravely disappointed that the protections provided by ADP will not be availab… 1 year ago · New York, United States",https://ground.news/interest/the-epoch-times
Australian Financial Review,Lean Right,Apple pulls most advanced security for cloud data in the UK,"The move to pull its encryption feature — rather than complying and building a backdoor — is a clear rebuke of the UK government’s order. 1 year ago · Sydney, Australia",https://ground.news/interest/australian-financial-review
End Time Headlines,Lean Right,iPhone users issued urgent warning as Apple removes its highest level data security tool in the UK,"In a significant and unprecedented move, Apple has just removed its highest-level data security tool, Advanced Data Protection (ADP), for iPhone users in the United Kingdom, effective February 21, 2025. This decision, prompted by a demand from the UK government for access to encrypted user data, has sparked widespread concern among privacy advocates, cybersecurity experts, […] 1 year ago",https://ground.news/interest/end-time-headlines
New York Post,Lean Right,Apple drops key security feature in UK in rebuke over government’s data demand,"Apple is dropping its most advanced, end-to-end security encryption feature for cloud data in the UK, the company said Friday, an unprecedented move after reports that the government demanded a way to access user data. 1 year ago · New York, United States",https://ground.news/interest/new-york-post
Startups News | Tech News,Lean Right,"Apple surrenders to the UK government, removes key privacy feature, and opens backdoor access to UK iPhone users’ data - Tech Startups","After months of pushing back, Apple finally surrendered to the UK Labour government and removed the highest level data security tool for Apple users in the UK. This means that the UK government now has access to its citizens’ messages and […] The post Apple surrenders to the UK government, removes key privacy feature, and opens backdoor access to UK iPhone users’ data first appeared on Tech Startups. 1 year ago",https://ground.news/interest/startups-news-tech-news
NOS,Lean Right,Apple takes 'unprecedented' step: iCloud extra security disabled in UK,"In the UK, Apple is removing the option to secure an iPhone or iPad backup so heavily that only the owner can access it. 1 year ago · Netherlands (Kingdom of the)",https://ground.news/interest/nos_4ae905
NDTV,Lean Right,Apple To Stop Full End-To-End Data Protection Tool For UK Users,"Apple said on Friday it could no longer offer full end-to-end encryption for British customers and iPhone users, following US media reports the UK government had asked for global data access. 1 year ago · New Delhi, India",https://ground.news/interest/ndtv
India Today,Lean Right,Apple ends advanced end-to-end encryption in UK amid government pressure,"Apple has announced that Advanced Data Protection, a feature providing end-to-end encryption for enhanced security across a wide range of user data, is no longer available for new users in the UK. 1 year ago · India",https://ground.news/interest/india-today
Daily Express,Lean Right,Privacy row as Home Office asks for iPhone users' data,The Home Office had issued an order asking for access to encrypted files stored in the cloud. 1 year ago · United Kingdom,https://ground.news/interest/daily-express
LBC,Lean Right,Urgent warning for iPhone users as Apple to remove highest level of data protection amid government security row,"Apple will remove its highest level of data protection - meaning the government can access your iPhone data. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
EADaily,Lean Right,"The police captured a terrorist in Berlin, whose hands were still covered in blood: EADaily","EADaily, February 22nd, 2025. In Berlin, local police detained a terrorist whose hands were still covered in blood. The detainee is suspected of attacking people with a knife. 1 year ago",https://ground.news/interest/eadaily
New York Post,Lean Right,Stabbing suspect arrested at Berlin’s Holocaust Memorial after injuring tourist,"Police arrested a man suspected in a stabbing attack Friday at Berlin’s Holocaust Memorial that left a Spanish tourist seriously injured, police said. 1 year ago · New York, United States",https://ground.news/interest/new-york-post
Globo,Lean Right,Man stabbed at Holocaust Memorial in Berlin; suspect arrested,"The attack took place at one of the main tourist spots in the German capital. Victim suffered serious injuries but is not life threatening, according to authorities. 1 year ago · Brazil",https://ground.news/interest/globo
BT,Lean Right,Spanish man seriously injured at Holocaust memorial in Berlin,30-year-old Spaniard injured after being stabbed with a sharp object at a memorial for murdered Jews. 1 year ago · Denmark,https://ground.news/interest/bt
Arutz Sheva,Lean Right,Man seriously injured in knife attack near Berlin's Holocaust Memorial,"Man sustains serious injuries following a knife attack near Berlin's Holocaust memorial. Suspect flees the scene, motive behind the attack remains unclear. 1 year ago · Israel",https://ground.news/interest/arutz-sheva
abc,Lean Right,A Spaniard is stabbed near the Holocaust Monument in Berlin,"It was just after six o'clock this Friday afternoon when the police came to help a Spanish man stabbed at the Berlin Holocaust Memorial near the Brandenburg Gate. Several witnesses stated that he had been attacked without warning by a man who had fled afterwards. He was bleeding from a stabbing wound and was immediately taken to the hospital by the fire brigade rescue service, which provided him with first aid on the ground.The first medical par… 1 year ago · Spain",https://ground.news/interest/abc_0c202e
Bangkok Post,Lean Right,Man badly wounded in assault at Berlin's Holocaust memorial: police,"BERLIN - German police said on Friday that a man was badly wounded in a possible stabbing at central Berlin's Holocaust memorial near the US embassy with the attacker still at large. 1 year ago · Bangkok, Thailand",https://ground.news/interest/bangkok-post
n-tv.de,Lean Right,Perpetrators on the run: Man severely injured in attack at the Holocaust Memorial in Berlin,"A man was seriously injured in an attack at the Holocaust Memorial in Berlin in the evening. As the police reported in online service X, the injured person was taken to the hospital. 1 year ago",https://ground.news/interest/n-tvde
News,Lean Right,"Major operation after ‘knife attack’ at Berlin Holocaust Memorial, one seriously injured",One person has been seriously injured following a terrifying knife attack at the Holocaust Memorial in Berlin. 1 year ago,https://ground.news/interest/news_356a3f
NOS,Lean Right,"Man stabbed at Berlin Holocaust memorial, perpetrator arrested","In Berlin, a man was seriously injured when he was attacked by a man with a knife just before 6 p.m. This happened on the grounds of the Holocaust memorial. The victim was taken to a hospital but is not in mortal danger, according to police. It's a 30-year-old Spanish tourist. The perpetrator fled and was arrested by the police roughly three hours after the stabbing. The police deny that a stabbing weapon was found, as German media previously re… 1 year ago · Netherlands (Kingdom of the)",https://ground.news/interest/nos_4ae905
Svenska Dagbladet,Lean Right,Suspect arrested after attack at Holocaust Memorial,"A suspected perpetrator has been arrested after a knife attack at the Holocaust Memorial in Berlin. 1 year ago · Stockholm, Sweden",https://ground.news/interest/svenska-dagbladet
Le Parisien,Lean Right,"Berlin: A man seriously injured in a stabbing attack at Holocaust Memorial, a suspect arrested","""A man was seriously wounded by an unknown assailant in the memorial stele field to the murdered Jews of Europe,"" said the Berlin police. A suspect was arrested. 1 year ago · Paris, France",https://ground.news/interest/le-parisien
LBC,Lean Right,Man seriously injured in 'stabbing' at German Holocaust Memorial,"A man has been seriously wounded in a stabbing at Berlin's Holocaust Memorial. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
Bild,Lean Right,Police in large-scale operation: Messer attack at the Holocaust Memorial in Berlin,"Berlin – Messer Attack at the Holocaust Memorial in Berlin-Mitte on Friday night! The perpetrators are on the run. 1 year ago · Berlin, Germany",https://ground.news/interest/bild
Le Figaro,Lean Right,Germany: Suspect arrested after attack at Holocaust Memorial in Berlin · Global Voices,"A man was stabbed this Friday evening. According to the Berlin firefighters, his days are not in danger. Six witnesses of the attack, in a state of shock, were taken care of by the rescue. 1 year ago · Paris, France",https://ground.news/interest/le-figaro
Frankfurter Allgemeine,Lean Right,Berlin: Man injured in knife attack on Holocaust memorial in Berlin,"A man is seriously injured at the Holocaust memorial in Berlin on Friday night. According to media reports, this is supposed to be a knife attack. Nothing is known about the background. 1 year ago · Frankfurt, Germany",https://ground.news/interest/frankfurter-allgemeine
The Sun,Lean Right,'Knife attack' at Berlin Holocaust Memorial as cops launch major operation,ONE person has been seriously injured following a terrifying knife attack at the Holocaust Memorial in Berlin.Cops have cordoned off the crime scene b 1 year ago · United Kingdom,https://ground.news/interest/the-sun_dd9bb3
il Giornale,Lean Right,Knife attack in Berlin: one seriously injured at the Holocaust memorial,There is still no concrete news from Berlin: some people have been injured by a man armed with a knife. Those responsible on the run 1 year ago · Italy,https://ground.news/interest/ilgiornaleit
GB News,Lean Right,Manhunt launched over Holocaust memorial knife attack just hours after police arrest teen for Israeli embassy plot,"A major police manhunt is underway in Berlin after a man was seriously wounded in a knife attack at the city's Holocaust Memorial 1 year ago · London, United Kingdom",https://ground.news/interest/gbnewscom
Daily Express,Lean Right,Berlin Holocaust memorial stabbing leaves several injured as attacker on loose,The stabbing took place near the German capital's Holocaust Memorial. 1 year ago · United Kingdom,https://ground.news/interest/daily-express
Welt,Lean Right,Berlin: Unknown attacked man at the Holocaust memorial with stabbing weapon – victims seriously injured,"In Berlin, an unknown man attacked a man in the stelenfeld of the Holocaust memorial – according to a media report with a knife. The victim was seriously injured. 1 year ago · Dortmund, Germany",https://ground.news/interest/welt
19FortyFive,Lean Right,Did the Ukraine War Cripple the Russian Military?,"The Russian Military After Ukraine, A Lion Or Paper Tiger?: The Russian military was the boogeyman in the United States for decades. During the 1950s, Joe McCarthy had everyone seeing red. During the 1960s, U.S. children practiced for incoming nuclear attacks by hiding under their desks. In the 1970s and 1980s, the worry was that […] The post Did the Ukraine War Cripple the Russian Military? appeared first on 19FortyFive. 1 year ago",https://ground.news/interest/19fortyfive
Irish Independent,Lean Right,Gardaí investigate if severed hand found in school belongs to boy injured in gas canister explosion,Gardai say they are continuing to “keep an open mind” on the discovery of a severed hand at a school in north Dublin this afternoon. 1 year ago · Ireland,https://ground.news/interest/independentie
LBC,Lean Right,Mystery of ‘severed hand’ found near school in Dublin,"Gardai are investigating after what is believed to be a severed hand was discovered near a school in Dublin. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
India TV News,Lean Right,Zelenksyy gets rare praise from US envoy after recent rebukes from Trump: 'Courageous leader at war',"Amidst US President Donald Trump openly criticising his Ukrainian counterpart and referring to him as a ""dictator without elections,"" a rare praise for President Volodymyr Zelenskyy has come from the US side. Trump's envoy to Ukraine, Keith Kellogg, has struck a positive tone, praising the Ukrainian leader as an “embattled and courageous leader of a nation at war. What do Kellogg's comment suggest? Notably, Kellogg, who travelled to Kyiv on Wedn… 1 year ago · India",https://ground.news/interest/india-tv-news
LBC,Lean Right,"Talks with 'courageous' Zelenskyy were 'extensive and positive', US envoy says just days after Trump dictator comments","The US held ""extensive and positive"" talks with Volodymyr Zelenskyy, Trump’s envoy for war has said. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
Jewish News Syndicate,Lean Right,‘Free Palestine’: Rushdie attacker convicted of attempted murder,"New Jersey resident Hadi Matar will be sentenced on April 23. 1 year ago · Jerusalem, Israel",https://ground.news/interest/jnsorg
GB News,Lean Right,Man who attacked Salman Rushdie ahead of New York speech found guilty of attempted murder,"A man who attacked Sir Salman Rushdie has been found guilty of attempted murder 1 year ago · London, United Kingdom",https://ground.news/interest/gbnewscom
