outlet,bias,headline,summary,ground_news_interest_url
Just the News,Lean Right,Senate panel advances Gabbard's nomination for National Intelligence director to final floor vote,"The committee recommended Gabbard in a 9 to 8 vote. 1 year ago · Washington, United States",https://ground.news/interest/justthenewscom
Republic World,Lean Right,US: Tulsi Gabbard Clears Senate Committee Vote for Nomination as Next Director of National Intelligence,"Washington: Former United States Representative Tulsi Gabbard has cleared the Senate Intelligence Committee vote for her nomination to become the next Director of National Intelligence (DNI), putting her one step closer to confirmation by the full Senate, as reported by The Hill. 1 year ago · Mumbai, India",https://ground.news/interest/republic-world
The Straits Times,Lean Right,Senate committee backs Trump pick Tulsi Gabbard as US intelligence chief,No date has been announced for Ms Gabbard’s consideration by the full 100-member Senate. 1 year ago · Singapore,https://ground.news/interest/the-straits-times_9bb9e6
NDTV,Lean Right,Tulsi Gabbard Clears Senate Committee To Lead Top US Spy Agency: Report,"Ex-US Representative Tulsi Gabbard has cleared the Senate Intelligence Committee vote for her nomination to become the next Director of National Intelligence, putting her one step closer to confirmation by the full Senate, as reported by The Hill. 1 year ago · New Delhi, India",https://ground.news/interest/ndtv
Washington Times,Lean Right,Senate Intelligence Committee approves Gabbard nomination,"The Senate Intelligence Committee on Tuesday approved Tulsi Gabbard's nomination to serve as director of national intelligence, ending weeks of suspense after key GOP holdouts announced their support in the 24 hours leading up to the committee vote. 1 year ago · United States",https://ground.news/interest/washington-times
il Giornale,Lean Right,"US Senate, green light from the intelligence committee to Tulsi Gabbard","The approval opens the door to a vote in the United States Senate, where Gabbard will probably be confirmed 1 year ago · Italy",https://ground.news/interest/ilgiornaleit
The Epoch Times,Lean Right,Senate Committee Advances Gabbard’s Nomination for Director of National Intelligence,"The Senate Select Committee on Intelligence approved former congresswoman Tulsi Gabbard’s bid to become the next director of national intelligence. The 9–8 closed-door vote means that Gabbard’s nomination will head to the Senate floor for a full vote, where she is likely to be confirmed as President Donald Trump’s intelligence director. On Monday, key moderate Sen. Susan Collins (R-Maine) announced that she will vote in support of Gabbard’s nomi… 1 year ago · New York, United States",https://ground.news/interest/the-epoch-times
New York Post,Lean Right,Tulsi Gabbard clears Senate committee in bid to lead US intelligence community,"Gabbard, 43, can only afford to lose three GOP votes in the full Senate before her nomination fails. 1 year ago · New York, United States",https://ground.news/interest/new-york-post
American Military News,Lean Right,Gabbard Highlights CIA’s Troubled Syrian Regime Change Operation at Confirmation Hearing,"Tulsi Gabbard, President Donald Trump’s pick to lead the U.S. intelligence community, focused critical attention on the Central Intelligence Agency’s activities in Syria during her confirmation hearing on Jan. 30. Trump’s nominee to serve as the director of national intelligence (DNI), testified in what proved to be a confrontational round of questioning about her views on key national security topics, including her views on the U.S. involvement… 1 year ago · United States",https://ground.news/interest/american-military-news
TMZ,Lean Right,Terrifying Video Shows Student Hiding as Gunman Kills 10 at Swedish School,"Published February 6, 2025 6:03 AM PST A mass shooting in Sweden ended with at least 10 people murdered Tuesday … and new video has surfaced capturing the terrifying moments a witness hiding in a bathroom heard the gunman firing his weapon as he closed… Source 1 year ago · Los Angeles, United States",https://ground.news/interest/tmz
