outlet,bias,headline,summary,ground_news_interest_url
Republic World,Lean Right,"Suspect In Fatal Stabbing In Southern Austria Had ‘Islamic Terror Motive,’ Officials Say","Vienna: Austrian authorities on the stabbing of five passersby in southern Austria that left a 14-year-old boy dead on Saturday said that, the act was carried out by a man suspect with possible connections to the Islamic State group who appeared to have acted alone. The Suspect, 1 year ago · Mumbai, India",https://ground.news/interest/republic-world
abc,Lean Right,The Austrian Government confirms that the stabbing that left one dead and five wounded was “an Islamist attack”,"The Austrian Minister of the Interior, Gerhard Karner, described this Sunday as an ""Islamist attack"" the stabbing that killed a teenager and injured five other people in the south of the country, reports AFP. ""It is an Islamist attack that has links with the Islamic State,"" said the minister in Villach, the city of southern Austria where the aggression took place. The suspect, a 23-year-old Syrian asylum seeker, radicalized online ""in a short ti… 1 year ago · Spain",https://ground.news/interest/abc_0c202e
Jewish Press,Lean Right,"Syrian Asylum Seeker Kills Boy, Wounds Four in Austria Rampage","The incident came two days after an Afghan asylum seeker plowed his car into a crowd of demonstrators in Munich, killing a two-year-old girl and her 37-year-old mother. 1 year ago",https://ground.news/interest/jewish-press
Daily Express,Lean Right,Syrian asylum seeker stabbing suspect in Austria had an 'Islamic terror motive',The 23-year-old suspect went on a vicious knife rampage in Austria and was pictured smiling as he was arrested. 1 year ago · United Kingdom,https://ground.news/interest/daily-express
DNyuz,Lean Right,Knife Attack in Austria Kills One and Injures Four,"A teenager died and several other people were injured in Villach, Austria, on Saturday after a man attacked them with a knife, officials said. A suspect has been detained in connection with the attack; it is not clear whether he knew the victims. The attack happened around 4 p.m. local time, killing a 14-year-old and injuring four other people, according to the mayor of Villach, a city in the south near the Italian and Slovenian borders. The pol… 1 year ago",https://ground.news/interest/dnyuz
India TV News,Lean Right,"Austria: Syrian national goes on stabbing spree in Villach city, kills minor, injures several others","In a startling incident, a 23-year-old man stabbed six passersby in southern Austria on Saturday in what police said was a random attack that left a 14-year-old dead and five others injured. The officials said that the attack took place in the city of Villach and the suspect was detained thereafter. The suspect is a Syrian national with legal residence in Austria, they said. Rainer Dionisio, the police spokesperson said that the motive was not i… 1 year ago · India",https://ground.news/interest/india-tv-news
Malay Mail,Lean Right,Syrian asylum seeker arrested after deadly stabbing attack in Austria,"VIENNA, Feb 16 — A Syrian asylum seeker was arrested after a teenager was stabbed to death and five other people were wounded in southern Austria yesterday, police said, sending shockwaves through the Alpine nation. The attack comes just two days after a suspected Afghan asylum seeker rammed a car into people in the city of Munich in neighbouring Germany, killing two people and wounding dozens of others. In the Austrian city of Villach, a man “r… 1 year ago · Selangor, Malaysia",https://ground.news/interest/malay-mail
9News,Lean Right,"Teen killed, four others injured in stabbing rampage in Austria",A 23-year-old man stabbed five passersby in southern Austria on Saturday (local time) in what police said w... 1 year ago · Australia,https://ground.news/interest/9news
News,Lean Right,Alleged attacker smiles after knife rampage,"A 14-year-old boy has died and four other people were injured in a knife attack in southern Austria on Saturday local time, police said. 1 year ago",https://ground.news/interest/news_356a3f
Sapo,Lean Right,Austria. One dead and four wounded in knife attack,The attacker is a Syrian asylum seeker. The content Austria. One killed and four wounded in knife attack appears first in Journal i. 1 year ago · Portugal,https://ground.news/interest/sapo
