outlet,bias,headline,summary,ground_news_interest_url
Latino News,Center,Millions of Archives About Epstein Reveal New Details and Mention Influential Figures - Latino-News - the Hispanic Newspaper,"February 3, 2026 – U.S. – Agencies. The publication of an immense database with millions of files linked to Jeffrey Epstein has revealed unpublished details about his network of contacts and the functioning of his residences. Among the documents is an internal database used by his staff to manage activities in places such as his private island and his home in Manhattan. Records mention figures of great relevance such as former U.S. president Bil…",https://ground.news/interest/latino-news
timcast,Right,"Jay Z, Harvey Weinstein & More Named in Recent Epstein File Dump",Listen to the full length show: Spotify - https://open.spotify.com/show/1tY1D8eg4QDzjCXF0tIWwl?si=435937562cfd4354 Apple ...,https://ground.news/interest/timcast
AM New York,Lean Left,Alexander brothers’ judge orders US to withhold Epstein-linked material during sex trafficking trial – amNewYork,"Much to the chagrin of their defense attorneys, accused sex traffickers, former real estate brokers and brothers Alon, Oren and Tal Alexander appeared in the U.S. Justice Department’s most recent release of Epstein files this past weekend.  While U.S. District Judge Valerie Caproni quashed the idea of granting the defense a mistrial over the brothers’ names appearing in the files, she issued an order late Monday barring the release of additional…",https://ground.news/interest/am-new-york
leprogres.fr,Center,Investigation. Jeffrey Epstein Case: Links with Lyon Revealed by the Publication of New Documents,"The publication of new documents on the Jeffrey Epstein case by the U.S. Ministry of Justice on Friday, January 30, sheds light on the links between the sexual criminal and many personalities from around the world. Among this sum of unpublished elements, Le Progrès began to identify those relating to the Lyonnaise region.",https://ground.news/interest/leprogresfr
Le Huffington Post,Left,How Trump Faced (without Harm) the Publication of the New Epstein Documents Mentioning Him,The U.S. president has been quoted thousands of times in the new salve of Jeffrey Epstein-related documents released last weekend.,https://ground.news/interest/le-huffington-post
The Express Tribune,Center,Epstein denied he was 'the devil' in video from latest file dump,"Jeffrey Epstein denied he was the ""devil"" and insisted he was only the lowest level of sexual predator in a video interview included in the latest release of files by United States authorities. The interview, which lasts around two hours, was conducted by President Donald Trump's former adviser Steve Bannon. It appears to be filmed in the deceased financier's New York home on an unknown date. Documents concerning Epstein and government investiga…",https://ground.news/interest/the-express-tribune
TVN24.pl,Lean Left,"Epstein, Putin, and Trump: What We Learn From the Released Documents","Billionaire Jeffrey Epstein maintained contacts with numerous Russians with ties to the Kremlin, according to documents released by the U.S. Department of Justice. Epstein also allegedly managed Vladimir Putin's assets.",https://ground.news/interest/tvn24pl
News,Right,‘The devil?’ Bombshell Epstein video released,Convicted sex offender Jeffrey Epstein was asked if he considered himself the devil and if he had “dirty” money in a wild newly released video interview.,https://ground.news/interest/news_356a3f
TF1 INFO,Center,"Interview with Jeffrey Epstein: ""Are You the Devil in Person?""","In an almost two-hour video recently broadcast by the US Department of Justice, containing the latest elements of the Epstein case, we discover a surprising scene. Donald Trump's former advisor, Steve Bannon, interrogates Jeffrey Epstein, the businessman convicted of sexual crimes, asking him if he is ""the devil in person."" ""No, but I have a good mirror,"" retorts Epstein with cynicism. This sequence was made public without any details of its ori…",https://ground.news/interest/tf1-info
charentelibre.fr,Center,"""I'm Not the Devil"": a New Interview by Jeffrey Epstein with a Friend of Trump Resurfaces","Among the millions of documents released, a new interview by Jeffrey Epstein resurfaces, showing the financier defending his money, his image and minimizing the seriousness of his actions.",https://ground.news/interest/charentelibrefr
