outlet,bias,headline,summary,ground_news_interest_url
Il Sole 24 Ore,Lean Right,"USA, Donald Trump on tariffs on Italy: “I like Giorgia Meloni, let's see what will happen” - Il Sole 24 ORE","(LaPresse) “I really like Prime Minister Giorgia Meloni, let's see what happens,” American President Donald Trump replied to a journalist who... 1 year ago · Milan, Italy",https://ground.news/interest/il-sole-24-ore
El Debate,Lean Right,Trump doesn’t rule out exempting Italy from tariffs because Meloni “likes it a lot”,"Trump, who has already threatened to levy taxes on imports from Canada, China, Mexico and the European Union, defends his plan to impose aran... 1 year ago",https://ground.news/interest/el-debate
The Spectator World,Lean Right,Trump gives Davos some respite,"We’ve heard more from the forty-seventh president this week than we heard from his predecessor over many months. But Donald Trump has always loved the spotlight: especially when he gets to rile up all his favorite people. This was on full display this week when, rather than winding down from his inauguration speech, the president ramped up his message in a video call to Davos. The establishment was on high alert all week, well aware that the ann… 1 year ago · United Kingdom",https://ground.news/interest/the-spectator-world
New York Post,Lean Right,Davos 2025: Trump may create US sovereign fund to snap up TikTok from ByteDance: sources,"The mood here in Davos – the epicenter of globalism – is quite interesting this year as the jet-setting elite descended on the quaint ski village for the World Economic Forum. 1 year ago · New York, United States",https://ground.news/interest/new-york-post
Washington Examiner,Lean Right,"Trump, back in White House, readies tariff plan - Washington Examiner","President Donald Trump‘s whirlwind series of moves that began his second White House stint had a conspicuous absence: immediate action on tariffs, the blunt trade measure he’s called “the most beautiful word to me.” Trump by no means forgot about tariffs, but he stopped short of imposing them on his first day in office. In the early hours of his second administration, Trump’s most headline-grabbing executive orders aimed to end birthright citize… 1 year ago · Washington, United States",https://ground.news/interest/washington-examiner
DNyuz,Lean Right,Trump to the world: Make your stuff in America or pay tariffs,"President Donald Trump on Thursday delivered his central message to businesses around the world: build in America or face the consequences. “My message to every business in the world is very simple: Come make your product in America, and we will give you among the lowest taxes of any nation on Earth,” Trump said as he called into a conference of global political and business leaders at the World Economic Forum in Davos, Switzerland. “But if you … 1 year ago",https://ground.news/interest/dnyuz
World Socialist Web Site,Far Left,Trump promises Davos oligarchs lowest corporate tax rate “of any nation on Earth”,"The US President appeared Thursday at a virtual panel at the World Economic Forum, the annual global meeting of bankers and oligarchs, in which he coupled threats of trade war with promises to slash the US corporate tax rate, gut environmental protections, and slash social spending. 1 year ago · United States",https://ground.news/interest/world-socialist-web-site
Real Clear Politics,Lean Right,Trump Torches Globalist Cabal at Davos,"1 year ago · Chicago, United States",https://ground.news/interest/real-clear-politics
La Tercera,Lean Right,Trump warns in Davos: either manufacture your products in the United States or pay tariffs,"President Donald Trump and his allies used the World Economic Forum to offer the world elite a warning: they intend to deliver on their “United States First” campaign promises, rejecting allies in the process if necessary. “My message to all companies around the world is very simple: come make your product in the United States and we will give you some of the lowest taxes of any nation on Earth,” Trump said in a video speech from Washington on T… 1 year ago · Chile",https://ground.news/interest/la-tercera
"La Nación, Grupo Nación",Lean Right,Trump anticipates the biggest tax cut in U.S. history and threatens tariffs on foreign companies,"Madrid. U.S. President Donald Trump presented himself at the World Economic Forum with an ambitious agenda of deregulation and tax cuts, which he announced as “the biggest tax cut in U.S. history,” in order to boost economic growth and attract the production of companies to the country, while those that produce outside will face tariffs. 1 year ago",https://ground.news/interest/la-nacion-grupo-nacion
This Is Money,Lean Right,America leaves Europe in its wake as Trump promises huge tax cut,Donald Trump (pictured) delivered his much-anticipated video address to the self-styled global elite at the World Economic Forum in Davos. 1 year ago · United Kingdom,https://ground.news/interest/this-is-money
