outlet,bias,headline,summary,ground_news_interest_url
Observador,Lean Right,Guterres saw no “productive moment” in the tense meeting between Trump and Zelensky,"Guterres's spokesman, Stéphane Dujarric, also stressed that Guterres' vision for this conflict is that it should have “a just and sustainable end”, stressing that the UN will support efforts in this regard. 1 year ago · Portugal",https://ground.news/interest/observador
Geo News,Lean Right,"European leaders to draft, present Ukraine peace plan to US President Trump","There will be diplomacy for the sake of peace: President Zelensky.France's Macron says plan will involve one-month ceasefire.Europe to turn Ukraine into steel porcupine, says top EU official.LONDON: British Prime Minister Keir... 1 year ago",https://ground.news/interest/geo-news
The Straits Times,Lean Right,"Starmer, Macron pledge to develop ceasefire plan for Ukraine, but will the US bite?","The European leaders say they are determined to work for permanent peace in Ukraine, in partnership with the US. 1 year ago · Singapore",https://ground.news/interest/the-straits-times_9bb9e6
Daily Express,Lean Right,"Make no mistake, a BAD ceasefire deal is worse for Ukraine than NO ceasefire","EXCLUSIVE: Lord Ashcroft, who has visited the embattled country 11 times since Russia's full-scale invasion, explains why he remains optimistic Zelensky can hold off the aggressors long enough to secure a fair peace deal 1 year ago · United Kingdom",https://ground.news/interest/daily-express
NOS,Lean Right,'Macron and Starmer propose limited month-long ceasefire in Ukraine',"The French president told French newspaper Le Figaro on his way back from London to Paris that the truce would only apply to ""the air, the sea and the energy infrastructure"". 1 year ago · Netherlands (Kingdom of the)",https://ground.news/interest/nos_4ae905
Die Presse,Lean Right,"Paris and London propose a one-month ceasefire, Zelenskyy...","Ukrainian President Zelenskyy stressed that he would continue to be prepared to conclude the mineral agreement with the US. Shortly before, French President Macron and British Prime Minister Starmer proposed a one-month ceasefire for Ukraine. 1 year ago · Vienna, Austria",https://ground.news/interest/die-presse
World Socialist Web Site,Far Left,The 2014 coup in Ukraine,1 year ago · United States,https://ground.news/interest/world-socialist-web-site
BT,Lean Right,Proposes a month-long ceasefire in Ukraine,"After the European Ukraine crisis meeting, Britain and France will propose a one-month ceasefire, according to Macron. 1 year ago · Denmark",https://ground.news/interest/bt
Frankfurter Allgemeine,Lean Right,Ukraine War: Europe wants to draw up a peace plan after Trump and Selenskyj eclat,"After the scandal between Donald Trump and Wolodymyr Selenskyj, the British Prime Minister announces a peace plan. Ukraine is to be able to ""negotiate a position of strength"" on ceasefire and peace. 1 year ago · Frankfurt, Germany",https://ground.news/interest/frankfurter-allgemeine
abc,Lean Right,Starmer promotes a joint plan with European allies and the United States to end the war in Ukraine,"British Prime Minister Keir Starmer appeared this Sunday at a press conference following the European leaders’ defense summit he convened in London. In his speech, he stressed the need for the United Kingdom, France and other allies to work alongside Ukraine on a plan to stop the fighting, which will later be discussed with the United States to ensure its joint implementation. 1 year ago · Spain",https://ground.news/interest/abc_0c202e
Український мілітарний портал,Lean Right,Britain and France Join Forces to Craft Peace Plan: What This Means for Ukraine,The UK and France will work together to create a peace plan for Ukraine 1 year ago,https://ground.news/interest/_36bd62
Welt,Lean Right,"According to Eklat in the White House: ""We are at the turning point – Starmer and Macron are now setting the tone","In London, European leaders and EU representatives meet with other NATO allies to prevent a super-GAU of defence policy. London and Paris are planning a ""coalition of the willing"" for Ukraine. But they realise that without Trump's America, it won't work. 1 year ago · Dortmund, Germany",https://ground.news/interest/welt
Reforma,Lean Right,UK and France work plan with Ukraine to present it to the US,"UK and France work with Ukraine to end conflict with Russia and present it to the US, Prime Minister Keir Starmer said. 1 year ago · Mexico City, Mexico",https://ground.news/interest/reformacom
Republic World,Lean Right,"UK and France to Work with Ukraine on Peace Plan and Present it to US, says Starmer","British Prime Minister Keir Starmer has announced that the UK and France, along with potentially other allies, will collaborate with Ukraine to develop a peace plan aimed at ending the ongoing war with Russia. The plan will be presented to the United States for discussion, Starme 1 year ago · Mumbai, India",https://ground.news/interest/republic-world
Just the News,Lean Right,"Starmer says UK, France and Ukraine have agreed to collaborate on ceasefire plan, present to U.S.","“We need to agree what steps come out of this meeting to deliver peace through strength for the benefit of all,” Starmer says. “So, let’s get started.” 1 year ago · Washington, United States",https://ground.news/interest/justthenewscom
The Media Line,Lean Right,"Britain, France To Present Ukraine Peace Deal to Trump, Says Starmer - The Media Line","British Prime Minister Keir Starmer announced on Sunday […] The post Britain, France To Present Ukraine Peace Deal to Trump, Says Starmer appeared first on The Media Line. 1 year ago",https://ground.news/interest/the-media-line
Dagens Nyheter.,Lean Right,Starmer: A peace plan should be presented to Trump,"Britain, France and Ukraine will work on a peace plan that they will present to the United States, says Keir Starmer ahead of Sunday's summit in London. - I want to be clear that Trump wants lasting peace, says British Prime Minister Starmer. 1 year ago · Stockholm, Sweden",https://ground.news/interest/dagens-nyheter
Malay Mail,Lean Right,"Starmer: UK, France to draft Ukraine peace plan before pitching to US","LONDON, March 2 — The UK and France will work with Ukraine on a plan to end the fighting with Russia, which will later be presented to the United States, Prime Minister Keir Starmer said today. “The United Kingdom, along with France and possibly one or two others, will work with Ukraine on a plan to stop the fighting, and then we’ll discuss that plan with the United States,” Starmer told the BBC. Starmer is hosting Volodymyr Zelensky and Europea… 1 year ago · Selangor, Malaysia",https://ground.news/interest/malay-mail
El Vocero de Puerto Rico,Lean Right,"UK, France and Ukraine agree to prepare ceasefire plan for war in Ukraine","LONDON — Britain, France and Ukraine have agreed to work on a ceasefire plan for Russia’s war in Ukraine to present to the United States, British Prime Minister Keir Starmer announced Sunday, ahead of a meeting with the United States on Tuesday. 1 year ago",https://ground.news/interest/el-vocero-de-puerto-rico
LBC,Lean Right,"UK and France to present US with Ukraine ceasefire plan, Starmer says as he vows to 'bridge' Trump-Zelenskyy rift","Keir Starmer has said that the UK and France will work with Ukraine on a ceasefire plan that they will then present to the US. 1 year ago · London, United Kingdom",https://ground.news/interest/lbc
Conservative Home,Lean Right,"""We have agreed to work with Ukraine on a plan to stop the fighting"" - Starmer","""Nobody wanted to see that"" UK PM Keir Starmer says he has spoken to both Ukraine's President Zelensky and US President Donald Trump since their confrontation in the Oval Office, which he says displayed ""a lot of tension"" #BBCLauraK https://t.co/Qc14PAI113 pic.twitter.com/mA579EZI1y — BBC Politics (@BBCPolitics) March 2, 2025 The post “We have agreed to work with Ukraine on a plan to stop the fighting” – Starmer appeared first on Conservative Ho… 1 year ago",https://ground.news/interest/conservative-home
focus.de,Lean Right,"Breakthrough for Peace? Great Plan for Britain, France and Ukraine","The Ukrainian President Selenskyi visited the White House. The conversation escalated. Selenskyi left and did not want to apologize. Therefore, there should be a crisis summit in London on Sunday. All the news about the war in Ukraine in the Newsticker. 1 year ago · Berlin, Germany",https://ground.news/interest/focusde
