outlet,bias,headline,summary,ground_news_interest_url
The Spectator World,Lean Right,Why did Biden pardon Fauci?,"Joe Biden left it until the last minute to issue a pre-emptive pardon of Anthony Fauci for any offense committed since 2014 in his work on “the White House Coronavirus Task Force or the White House Covid-19 Response Team, or as Chief Medical Advisor to the President.” Yet surely Covid began in 2019, not 2014? The significance of 2014 is that this was when the Obama administration responded to anxiety among some scientists about a series of exper… 1 year ago · United Kingdom",https://ground.news/interest/the-spectator-world
Spectator UK,Lean Right,Why has Biden pardoned Anthony Fauci?,"Joe Biden left it until the last minute to issue a pre-emptive pardon of Anthony Fauci for any offence committed since 2014 in his work on ‘the White House Coronavirus Task Force or the White House Covid-19 Response Team, or as Chief Medical Advisor to the President.’ Yet surely Covid began in 2019, not 2014? 1 year ago · London, United Kingdom",https://ground.news/interest/spectator-uk
Echo Press,Lean Right,"Letter: Why did Biden pardon Fauci, Gen. Milley and House members?","To the editor: Just saw that Biden pardoned Dr. Anthony Fauci, retired Gen. Mark Milley and House members who investigated the Jan. 6 attack. Wow. I thought they were all noble Americans that have done nothing wrong. Maybe we will finally hear what they got away with even if they can't be indicted. But the Star Tribune will look quite corrupt and as a willing participant. That should help your circulation. Pryce Score  Retired  Kensington, MN]]> 1 year ago",https://ground.news/interest/echopresscom
The Bulwark,Lean Right,Biden Pushes Legal Boundaries With Preemptive Pardons Before Trump Takes Office,"Sam Stein talks Joe Biden's last minute pardons to General Mark Milly, Anthony Fauci, and January 6th Committee members hours before Donald Trump takes office.Leave a commentAs always: Watch, listen, and leave a comment. Bulwark+Live is home to short videos, livestreams and event archives exclusively for Bulwark+ members.Don’t care for video? Use the controls on the left-hand side of the player to toggle to audio. 1 year ago",https://ground.news/interest/the-bulwark
Cowboy State Daily,Lean Right,"Cowboy State Daily | Wyoming Delegation, Trump, Slam Biden For Last-Minute Cheney Pardon","The Wyoming congressional delegation joined Donald Trump on Monday in slamming President Biden’s final-hour pardons. On his way out of office, Biden… 1 year ago",https://ground.news/interest/cowboy-state-daily
Le Figaro,Lean Right,"United States: What is a preventive pardon, granted by Joe Biden to certain targets of Donald Trump? – INTELLI.NEWS","As he prepares to hand over power to Donald Trump, the Democratic president granted a series of preventive pardons to several personalities on Monday, to protect them from ""unjustified and politically motivated legal proceedings."" Source 1 year ago · Paris, France",https://ground.news/interest/le-figaro
Miami Valley Today,Lean Right,"Biden pardons Fauci, Milley to thwart ‘revenge’ - Miami Valley Today","WASHINGTON — President Joe Biden on Monday pardoned Dr. Anthony Fauci, retired Gen. Mark Milley and members of the House committee that investigated the Jan. 6 attack on the Capitol, in an extraordinary use of the powers of the presidency in his final hours to guard against potential “revenge” by the incoming Trump administration. The decision by Biden comes after Donald Trump warned of an enemies list filled with those who have crossed him poli… 1 year ago",https://ground.news/interest/miami-valley-today
romaniatv.net,Lean Right,Biden pre-emptively pardoned Dr. Fauci and General Milley to protect them from possible Trump retaliation,"US President Joe Biden has pre-emptively pardoned doctor Anthony Fauci and General Mark Milley to protect them in the event of a possible retaliation by Donald Trump, international media reports. Biden's article pre-emptively pardoning Dr. Fauci and General Milley in order to protect them from possible retaliation by Trump appears first on Romania TV. 1 year ago",https://ground.news/interest/romaniatvnet
la Nacion,Lean Right,"In his last move as president, Biden pardons officials to protect himself from Trump’s possible “revenge”","WASHINGTON.- Retiring President Joe Biden pardoned on Monday Dr Anthony Fauci, retired General Mark Milley and members of the House of Representatives committee who investigated the January 6 attack on the Capitol, in an extraordinary use of the presidency's powers in his last hours to protect himself against a possible “revenge” from Donald Trump's incoming government. Biden's decision comes after Trump warned of a list of enemies full of those… 1 year ago · Buenos Aires, Argentina",https://ground.news/interest/la-nacion_7042bc
El Financiero,Lean Right,Biden says goodbye with dozens of pardons: Who did he protect from Trump’s possible ‘revenges’?,"President Joe Biden granted pardons to important government officials that President-elect Donald Trump (who took part in a protest this Monday) has threatened to punish, avoiding possible reprisals from his successor against those he has labeled as political enemies.Among those pardoned are retired General Mark Milley, infectious disease expert Anthony Fauci and members of Congress and the staff who were part of the select committee that invest… 1 year ago · Mexico",https://ground.news/interest/el-financiero
National Post,Lean Right,"Guarding against potential Trump retaliation, Biden pardons Fauci and Milley","One of Joe Biden's final acts as president was to pardon Dr. Anthony Fauci, retired Gen. Mark Milley and members of the Jan. 6 House committee. 1 year ago · Canada",https://ground.news/interest/national-post
ilgiornale.it,Lean Right,"Biden's last act: grace Miley, Fauci and the entire commission on Capitol Hill","The purpose, as reported by the American media, is to protect them from “unjustified and politically motivated judicial proceedings.” 1 year ago · Italy",https://ground.news/interest/ilgiornaleit
"La Nación, Grupo Nación",Lean Right,Biden grants pre-trial pardons before Trump's inauguration,"Washington. The outgoing president of the United States, Joe Biden, granted Monday pre-emptive pardons to congressmen and officials. The bill seeks to protect them from “unreasonable and politically motivated judicial proceedings” hours before the inauguration of Donald Trump, who promised to “revenge” from his adversaries. The 82-year-old Democrat granted this protection to personalities considered enemies by the Trumpites, according to an offi… 1 year ago",https://ground.news/interest/la-nacion-grupo-nacion
Dagens Nyheter.,Lean Right,Biden's move: Pardons Trump's targets in advance,"Outgoing US President Joe Biden is pardoning a number of people who are not suspected of crimes, but who are feared to be targets of the incoming Trump administration. – These are exceptional circumstances and I cannot in good conscience refrain from acting, Biden says, according to the New York Times. 1 year ago · Stockholm, Sweden",https://ground.news/interest/dagens-nyheter
telesurtv.net,Far Left,Joe Biden preemptively pardons several American figures,"Before leaving the presidency of the United States, Joe Biden gave a preventive pardon to several personalities for possible vindictive reprisals of the new Administration. In the use of the extraordinary powers of his office, in the last hours Biden pardoned the American physician Anthony Fauci, retired General Mark Milley and the members of the House of Representatives committee who investigated the January 6, 2021 assault on the Capitol, in o… 1 year ago",https://ground.news/interest/telesurtvnet
El Universo,Lean Right,"Joe Biden pardons several officials to protect them from Donald Trump, in one of his last acts as president","Retiring President Joe Biden granted Monday pre-trial pardons to congressmen and officials to protect them from “unreasonable and politically motivated judicial proceedings” hours before the inauguration of his successor Donald Trump, who has promised to “revenge” from his adversaries. 1 year ago",https://ground.news/interest/el-universo
American Military News,Lean Right,"Biden issues pardons for Fauci, Ret. Gen. Mark Milley, and Jan 6 Committee","President Joe Biden issued pardons for Dr. Anthony Fauci, Retired General Mark Milley, and members of the January 6 committee on Monday just hours before President-elect Donald Trump’s inauguration. “I believe in the rule of law, and I am optimistic that the strength of our legal institutions will ultimately prevail over politics,” Biden said in his statement on the last-minute pardons. “But these are exceptional circumstances, and I cannot in g… 1 year ago · United States",https://ground.news/interest/american-military-news
Arutz Sheva,Lean Right,"At last minute, Biden issues pre-emptive pardons to prevent Trump reprisals","Outgoing President Joe Biden issues pre-emptive pardons to Liz Cheney, Anthony Fauci, and more on his last day in office to prevent Trump from pursuing them for prosecution. 1 year ago · Israel",https://ground.news/interest/arutz-sheva
The Telegraph,Lean Right,Joe Biden pardons Covid chief Fauci in ‘untested use of power’,"In his final hours in office, Mr Biden cleared the names of a swathe of Trump critics to protect them from any potential ‘revenge’ 1 year ago · London, United Kingdom",https://ground.news/interest/the-telegraph
News18 India,Lean Right,"In Last-minute Order, Biden Pardons Fauci, Milley To Guard Against Trump's Potential 'Revenge'","Fauci, who helped coordinate the nation's response to the COVID-19 pandemic, raised the ire of Trump when he refused to back Trump's unfounded claims. 1 year ago · India",https://ground.news/interest/news18-india
DNyuz,Lean Right,"Biden issues last-minute pardons for Fauci, Gen. Milley, J6 committee and cops","Outgoing President Joe Biden has issued a flurry of last-minute pardons for individuals who ran afoul of incoming President Donald Trump. On Monday, just hours before leaving the Oval Office, Biden issued pardons for Dr. Anthony Fauci, retired Gen. Mark Milley, and members of the House committee who allegedly investigated January 6 as well as some Capitol and D.C. Metro police officers who testified before the committee. According to the AP, Bid… 1 year ago",https://ground.news/interest/dnyuz
Le Parisien,Lean Right,"United States: Joe Biden grants preventive pardons to elected officials or officials, targets of Donald Trump","Joe Biden took advantage of his last hours as president to grant clemency to elected officials or officials threatened with “unjustified and politically motivated legal proceedings” with the return of Donald Trump to power. 1 year ago · Paris, France",https://ground.news/interest/le-parisien
wibc.com,Lean Right,President Biden Issues “Pre-Emptive” Pardons Hours Before Leaving Office,"President Biden is issuing pre-emptive pardons for General Mark Milley, Dr. Anthony Fauci, and members of the January 6th congressional committee. 1 year ago",https://ground.news/interest/wibccom
7NEWS Australia,Lean Right,Joe Biden makes major move hours out from Trump’s inauguration,The announcement was made in the final hours of Biden’s presidency. 1 year ago · Australia,https://ground.news/interest/7news-australia
Die Presse,Lean Right,Precautionary pardon: Biden tries to protect Trump opponents from future...,"A few hours before the end of his term, US President Joe Biden takes an unusual measure. He pardons pandemic advisor Fauci and General Milley - even though no charges have yet been brought against them. 1 year ago · Vienna, Austria",https://ground.news/interest/die-presse
abc,Lean Right,Biden signs pre-emptive pardons for senior officials threatened by Trump,"The outgoing president of the United States, Joe Biden, has granted several pre-trial pardons on Monday in favor of a series of senior officials in his administration to whom the elected president, Donald Trump, had threatened to judge when he returned to the White House for his decisions during the exercise of his functions. President Biden announced this in a statement issued by the White House stating that he avails himself of his authority u… 1 year ago · Spain",https://ground.news/interest/abc_0c202e
आज तक,Lean Right,"Biden's big decision before Donald Trump's oath, 'forgives' these people including Dr. Fauci","Donald Trump had repeatedly warned during his election campaign that after becoming President, he would order an investigation into those officials of the Joe Biden administration who targeted him. 1 year ago",https://ground.news/interest/_421d90
